bucket_size;threads;algorithm;generating;splitting;sorting;writing;overall
50;1;3;0.483812;1.573429;1.177914;0.100303;3.088157
50;1;3;0.617858;1.623025;1.145384;0.091247;3.079376
50;1;3;0.471416;1.489730;1.050880;0.090039;2.853616
50;2;3;0.241369;1.143281;0.551384;0.049025;1.947288
50;2;3;0.310480;1.067228;0.544935;0.046052;1.938122
50;2;3;0.241980;1.058816;0.530417;0.045667;1.842647
50;3;3;0.183317;1.056923;0.365977;0.031129;1.696924
50;3;3;0.210937;1.004506;0.365836;0.033276;1.636802
50;3;3;0.166107;0.973923;0.361261;0.031114;1.603446
50;4;3;0.125982;0.942450;0.315407;0.025101;1.557145
50;4;3;0.162559;0.879244;0.278715;0.023852;1.448511
50;4;3;0.122095;0.879592;0.279659;0.024056;1.442923
50;5;3;0.100280;0.800739;0.245613;0.019997;1.375813
50;5;3;0.129962;0.781337;0.230148;0.019599;1.335321
50;5;3;0.101510;0.787327;0.231097;0.019039;1.331468
50;6;3;0.084187;0.754001;0.204750;0.018139;1.308207
50;6;3;0.106408;0.727993;0.192033;0.016194;1.261172
50;6;3;0.083405;0.740025;0.197278;0.016851;1.273332
50;7;3;0.072648;0.674157;0.181740;0.015161;1.238816
50;7;3;0.090951;0.660650;0.167628;0.014521;1.198080
50;7;3;0.071586;0.652156;0.168808;0.014393;1.189517
50;8;3;0.064647;0.682433;0.168002;0.023276;1.263778
50;8;3;0.081565;0.629662;0.150081;0.013247;1.170184
50;8;3;0.064353;0.630034;0.158936;0.013286;1.177392
