bucket_size;threads;algorithm;generating;splitting;sorting;writing;overall
1;1;3;0.048709;0.919836;0.078690;0.035436;1.473492
1;1;3;0.062182;0.930150;0.082203;0.039128;1.462075
1;1;3;0.048046;0.799821;0.077271;0.034332;1.278910
2;1;3;0.050668;0.664159;0.063619;0.023574;0.948429
2;1;3;0.061702;0.640009;0.065600;0.023284;0.929666
2;1;3;0.050137;0.808621;0.065387;0.022953;1.094203
3;1;3;0.051083;0.685235;0.060080;0.018374;0.900413
3;1;3;0.061561;0.530942;0.059700;0.019438;0.761859
3;1;3;0.048864;0.550905;0.061156;0.018543;0.767848
4;1;3;0.050719;0.517145;0.058178;0.015413;0.696409
4;1;3;0.062016;0.479832;0.058635;0.015468;0.654736
4;1;3;0.047884;0.469130;0.059393;0.015613;0.651234
5;1;3;0.052140;0.439266;0.058834;0.014386;0.599508
5;1;3;0.061985;0.449126;0.058781;0.018731;0.616936
5;1;3;0.048267;0.428198;0.059482;0.014326;0.585990
6;1;3;0.050245;0.387652;0.059103;0.013286;0.533181
6;1;3;0.061520;0.395794;0.060752;0.013400;0.543131
6;1;3;0.051929;0.471877;0.068273;0.015572;0.633569
7;1;3;0.052515;0.463294;0.062390;0.012790;0.602585
7;1;3;0.068197;0.391442;0.063898;0.013742;0.535987
7;1;3;0.049361;0.499061;0.062017;0.013209;0.641151
8;1;3;0.053844;0.400008;0.065339;0.012744;0.537262
8;1;3;0.062939;0.326661;0.064089;0.012901;0.460405
8;1;3;0.050761;0.372621;0.065517;0.013654;0.513416
9;1;3;0.056032;0.371720;0.071879;0.013876;0.516046
9;1;3;0.062485;0.295663;0.063505;0.011929;0.422576
9;1;3;0.047615;0.292979;0.064269;0.012798;0.421342
10;1;3;0.051537;0.292824;0.074504;0.011873;0.427068
10;1;3;0.061609;0.280330;0.066339;0.039765;0.464384
10;1;3;0.047668;0.280939;0.065634;0.012116;0.407661
11;1;3;0.051526;0.292322;0.070951;0.011287;0.419055
11;1;3;0.061578;0.266869;0.068686;0.011440;0.389330
11;1;3;0.047802;0.265000;0.069682;0.011414;0.389564
12;1;3;0.051092;0.257742;0.070324;0.011359;0.379752
12;1;3;0.062343;0.250465;0.070427;0.011030;0.370735
12;1;3;0.050080;0.250248;0.069590;0.011301;0.371690
13;1;3;0.051744;0.268799;0.074598;0.012663;0.400280
13;1;3;0.061378;0.238119;0.071420;0.010753;0.357198
13;1;3;0.047803;0.233597;0.071923;0.010793;0.353531
14;1;3;0.051954;0.237054;0.073923;0.010549;0.356472
14;1;3;0.061460;0.248543;0.074448;0.010471;0.368842
14;1;3;0.048575;0.229380;0.077220;0.011081;0.354536
15;1;3;0.050799;0.225406;0.078159;0.010585;0.348216
15;1;3;0.063223;0.225406;0.077222;0.010306;0.346131
15;1;3;0.047721;0.219140;0.076676;0.010559;0.339426
16;1;3;0.050535;0.226060;0.080100;0.010931;0.350011
16;1;3;0.061420;0.212610;0.080408;0.010630;0.335718
16;1;3;0.049498;0.219382;0.079264;0.011057;0.341581
17;1;3;0.054787;0.217148;0.083087;0.011176;0.343705
17;1;3;0.062740;0.211762;0.092933;0.010474;0.345914
17;1;3;0.047796;0.205195;0.081670;0.010301;0.327417
18;1;3;0.051410;0.207682;0.083826;0.010139;0.330990
18;1;3;0.062085;0.198982;0.082874;0.010166;0.320401
18;1;3;0.047860;0.198293;0.082926;0.010122;0.319833
19;1;3;0.051600;0.199577;0.084796;0.010885;0.324086
19;1;3;0.062601;0.189725;0.084555;0.010086;0.311111
19;1;3;0.047695;0.206444;0.089059;0.010865;0.333874
20;1;3;0.051611;0.194849;0.086290;0.010112;0.318894
20;1;3;0.061568;0.184758;0.087403;0.010138;0.308472
20;1;3;0.048674;0.183698;0.086295;0.009992;0.305955
21;1;3;0.050372;0.186598;0.087521;0.009984;0.309190
21;1;3;0.063728;0.185476;0.087588;0.009801;0.307515
21;1;3;0.048243;0.178051;0.087309;0.009944;0.299981
22;1;3;0.051034;0.197090;0.096186;0.010558;0.330778
22;1;3;0.061953;0.174840;0.088688;0.009993;0.298456
22;1;3;0.047658;0.174616;0.089548;0.009891;0.297256
23;1;3;0.050285;0.178809;0.089453;0.009817;0.301173
23;1;3;0.062227;0.167283;0.089577;0.009686;0.288773
23;1;3;0.047704;0.170342;0.089339;0.010194;0.292561
24;1;3;0.051255;0.175117;0.090300;0.009724;0.297268
24;1;3;0.061195;0.167583;0.092613;0.013105;0.298538
24;1;3;0.052778;0.171911;0.090933;0.009739;0.295237
25;1;3;0.052465;0.173656;0.092746;0.010056;0.299403
25;1;3;0.092942;0.169159;0.093936;0.009809;0.295794
25;1;3;0.047973;0.162111;0.183216;0.009775;0.377665
26;1;3;0.055280;0.184100;0.095523;0.009753;0.312045
26;1;3;0.064420;0.164735;0.092992;0.009927;0.289244
26;1;3;0.049099;0.180708;0.095682;0.009577;0.307434
27;1;3;0.110827;0.204252;0.093907;0.009882;0.332965
27;1;3;0.063772;0.157179;0.092917;0.009549;0.281104
27;1;3;0.048619;0.159383;0.093061;0.009837;0.284670
28;1;3;0.051395;0.161298;0.094092;0.009961;0.287789
28;1;3;0.061584;0.160207;0.094850;0.009690;0.285868
28;1;3;0.047502;0.154117;0.094696;0.009930;0.281160
29;1;3;0.050746;0.182877;0.100021;0.010133;0.315324
29;1;3;0.061881;0.152981;0.094225;0.009761;0.278582
29;1;3;0.048156;0.153194;0.095740;0.009613;0.279413
30;1;3;0.050695;0.153977;0.096420;0.009920;0.282863
30;1;3;0.061362;0.150884;0.094651;0.009643;0.275782
30;1;3;0.047989;0.152878;0.102557;0.011257;0.287404
31;1;3;0.050503;0.154777;0.096933;0.009687;0.283049
31;1;3;0.062262;0.147750;0.096968;0.009870;0.279691
31;1;3;0.049848;0.147707;0.097342;0.010678;0.278226
32;1;3;0.050189;0.154542;0.096754;0.010550;0.286268
32;1;3;0.061497;0.147281;0.097593;0.009448;0.275966
32;1;3;0.047758;0.148568;0.096600;0.009898;0.278781
33;1;3;0.050573;0.151946;0.097697;0.009790;0.282523
33;1;3;0.063707;0.146725;0.096740;0.009512;0.277197
33;1;3;0.047707;0.146825;0.097085;0.009569;0.275679
34;1;3;0.051446;0.157161;0.102422;0.009628;0.292462
34;1;3;0.061395;0.145259;0.099260;0.009474;0.277365
