bucket_size;threads;algorithm;generating;splitting;sorting;writing;overall
10;1;1;0.307057;1.580991;0.580551;0.189482;2.567464
10;1;3;0.309134;2.505239;0.477468;0.077705;3.310175
50;1;1;0.308068;0.672776;0.871175;0.071703;1.700711
50;1;3;0.308811;0.949304;0.834340;0.057037;1.936109
10;2;1;0.158289;0.971389;0.306623;0.096356;1.583603
10;2;3;0.157290;1.730262;0.246669;0.039403;2.358122
50;2;1;0.157981;0.485257;0.441223;0.037478;1.036945
50;2;3;0.154120;0.726125;0.419523;0.028696;1.272195
10;3;1;0.104623;0.741178;0.279489;0.067060;1.296359
10;3;3;0.105678;1.299594;0.162680;0.026637;1.879731
50;3;1;0.105864;0.345565;0.360633;0.025969;0.801633
50;3;3;0.106481;0.589964;0.286514;0.020802;1.004373
10;4;1;0.079096;0.590760;0.205847;0.052746;1.056881
10;4;3;0.079104;1.090806;0.124352;0.019758;1.671914
50;4;1;0.078914;0.287735;0.289262;0.019437;0.664506
50;4;3;0.079191;0.556432;0.214425;0.015371;0.905222
10;5;1;0.063844;0.493921;0.226791;0.043137;0.978410
10;5;3;0.063910;0.942553;0.098125;0.015939;1.538751
50;5;1;0.063300;0.270171;0.271169;0.016581;0.625696
50;5;3;0.063186;0.530218;0.172289;0.011874;0.846705
10;6;1;0.053364;0.470446;0.187922;0.038585;0.906168
10;6;3;0.053106;0.856685;0.082789;0.013317;1.482170
50;6;1;0.053196;0.239423;0.231416;0.014578;0.554759
50;6;3;0.053105;0.510389;0.151951;0.011309;0.824285
10;7;1;0.045690;0.438423;0.177166;0.033535;0.857606
10;7;3;0.045631;0.778788;0.071087;0.011729;1.450262
50;7;1;0.045733;0.230986;0.205696;0.012608;0.518138
50;7;3;0.045774;0.522478;0.124185;0.008617;0.815365
10;8;1;0.044022;0.402187;0.152097;0.031915;0.796815
10;8;3;0.040202;0.732220;0.061816;0.010181;1.464307
50;8;1;0.039990;0.213497;0.197430;0.011466;0.492136
50;8;3;0.040285;0.472617;0.107764;0.007554;0.760950
