bucket_size;threads;algorithm;generating;splitting;sorting;writing;overall
10;1;1;0.311382;1.746255;0.596422;0.185853;2.748512
11;1;1;0.307711;1.567548;0.591663;0.172016;2.524710
12;1;1;0.309723;1.585308;0.609892;0.166238;2.542759
13;1;1;0.307829;1.616954;0.617478;0.155981;2.559800
14;1;1;0.309461;1.464078;0.634027;0.144719;2.398099
15;1;1;0.308881;1.423978;0.658340;0.146162;2.376494
16;1;1;0.308439;1.478184;0.679625;0.138749;2.443411
17;1;1;0.310081;1.512228;0.692087;0.137217;2.477104
18;1;1;0.309104;1.440590;0.721739;0.134242;2.423275
19;1;1;0.309069;1.496000;0.728968;0.123942;2.471099
20;1;1;0.309384;1.135373;0.711912;0.118585;2.077895
21;1;1;0.301585;1.095707;0.728995;0.118236;2.053078
22;1;1;0.300396;1.122576;0.743718;0.119904;2.093096
23;1;1;0.307435;1.267988;0.761823;0.110682;2.241589
24;1;1;0.303169;0.941272;0.744610;0.105675;1.886416
25;1;1;0.302834;0.990928;0.741883;0.102799;1.928157
26;1;1;0.300776;0.964972;0.758957;0.099594;1.913438
27;1;1;0.302908;0.924917;0.766871;0.101153;1.892102
28;1;1;0.300480;0.880534;0.765391;0.096096;1.835617
29;1;1;0.302616;0.856326;0.759387;0.090475;1.794615
30;1;1;0.307229;0.919488;0.770932;0.089095;1.874730
31;1;1;0.302227;0.944356;0.814144;0.090384;1.946467
32;1;1;0.310523;0.890528;0.812110;0.087811;1.894435
33;1;1;0.311439;1.014876;0.816685;0.084992;2.022633
34;1;1;0.306803;0.973781;0.816008;0.083490;1.980593
35;1;1;0.308651;0.822550;0.816612;0.081237;1.829078
36;1;1;0.310053;0.865314;0.821566;0.082367;1.880439
37;1;1;0.310328;0.870695;0.831288;0.080185;1.893785
38;1;1;0.308371;0.810571;0.834057;0.076768;1.824678
39;1;1;0.309011;0.870712;0.840289;0.077003;1.903908
40;1;1;0.310438;0.898188;0.845124;0.077709;1.934721
41;1;1;0.309964;0.758261;0.837646;0.074229;1.769547
42;1;1;0.309222;0.745560;0.844705;0.074437;1.763073
43;1;1;0.305075;0.735521;0.828381;0.073357;1.742167
44;1;1;0.306313;0.711663;0.842543;0.074298;1.735044
45;1;1;0.306339;0.745347;0.840601;0.072396;1.746810
46;1;1;0.304155;0.740769;0.852854;0.070989;1.755274
47;1;1;0.305307;0.725482;0.847995;0.073482;1.736626
48;1;1;0.304887;0.772905;0.856024;0.071601;1.791379
49;1;1;0.304778;0.716159;0.854959;0.070108;1.723056
50;1;1;0.303096;0.647008;0.846623;0.069318;1.640245
10;2;1;0.154019;0.921360;0.286866;0.094701;1.510548
11;2;1;0.153438;0.916872;0.288912;0.088689;1.484953
12;2;1;0.154256;0.865669;0.308924;0.084676;1.437529
13;2;1;0.153691;0.886000;0.305628;0.078776;1.431612
14;2;1;0.158450;0.877376;0.315338;0.075386;1.420158
15;2;1;0.154646;0.825077;0.320613;0.072480;1.360014
16;2;1;0.154447;0.790655;0.331549;0.070023;1.325958
17;2;1;0.153804;0.753830;0.340596;0.067885;1.289141
18;2;1;0.153721;0.752083;0.346049;0.065698;1.284650
19;2;1;0.154229;0.722793;0.353451;0.063965;1.254825
20;2;1;0.153693;0.681001;0.359715;0.063099;1.213356
21;2;1;0.153512;0.700578;0.362882;0.060449;1.228711
22;2;1;0.154209;0.661684;0.367462;0.060214;1.190699
23;2;1;0.153670;0.694420;0.371198;0.057191;1.220329
24;2;1;0.154087;0.617770;0.405052;0.055798;1.172806
25;2;1;0.157037;0.691645;0.387943;0.055123;1.228307
26;2;1;0.156499;0.715036;0.396896;0.054481;1.266184
27;2;1;0.157780;0.610703;0.397027;0.053053;1.154768
28;2;1;0.157055;0.639524;0.396554;0.051402;1.178599
29;2;1;0.159604;0.607556;0.400044;0.048984;1.146845
30;2;1;0.157875;0.637190;0.400962;0.048188;1.180090
31;2;1;0.156901;0.619170;0.404428;0.046306;1.163109
32;2;1;0.155547;0.621965;0.405968;0.046288;1.166439
33;2;1;0.157070;0.638323;0.408296;0.043885;1.189545
34;2;1;0.157745;0.565968;0.410016;0.043222;1.120451
35;2;1;0.157577;0.567949;0.423367;0.043317;1.134939
36;2;1;0.158520;0.579506;0.429509;0.041813;1.152519
37;2;1;0.156793;0.561390;0.417390;0.041111;1.118012
38;2;1;0.156972;0.573925;0.424559;0.040599;1.137061
39;2;1;0.157667;0.533917;0.424529;0.040042;1.095312
40;2;1;0.153947;0.526623;0.414108;0.039366;1.077444
41;2;1;0.153489;0.510298;0.419378;0.038336;1.061372
